65

Culture: pt-BR 
Date: 15/05/2023 14:21:47.64988

ENLIGHT Version: 1.13.0.0

Data Save Interval: 1
Timestamp Format: Full

Name: 
Description: 
Module Type: Hyperion
HW Acquisition Rate: 1000 Hz
Wavelength Tracking: 400 pm / acquistion
Data Interleave: 1

IP Address: 10.0.0.55
      Port: 51971

IDN: Hyperion
Image ID: 14.1.0
S/N: HIAGBY

CH 1 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 136
CH 2 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 201
CH 3 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 196
CH 4 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 5 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 197
CH 6 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 7 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 8 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
Timestamp	# CH 1	# CH 2	# CH 3	# CH 4	# CH 5	# CH 6	# CH 7	# CH 8
15/05/2023 14:21:47.74688	0	0	0	0	0	1	0	0	1553,38411
15/05/2023 14:21:47.74788	0	0	0	0	0	1	0	0	1553,38255
15/05/2023 14:21:47.74888	0	0	0	0	0	1	0	0	1553,37589
15/05/2023 14:21:47.74988	0	0	0	0	0	1	0	0	1553,38313
15/05/2023 14:21:47.75088	0	0	0	0	0	1	0	0	1553,38020
15/05/2023 14:21:47.75188	0	0	0	0	0	1	0	0	1553,38490
15/05/2023 14:21:47.75288	0	0	0	0	0	1	0	0	1553,38137
15/05/2023 14:21:47.75388	0	0	0	0	0	1	0	0	1553,37941
15/05/2023 14:21:47.75488	0	0	0	0	0	1	0	0	1553,38607
15/05/2023 14:21:47.75588	0	0	0	0	0	1	0	0	1553,37883
15/05/2023 14:21:47.75688	0	0	0	0	0	1	0	0	1553,37902
15/05/2023 14:21:47.75788	0	0	0	0	0	1	0	0	1553,38216
15/05/2023 14:21:47.75888	0	0	0	0	0	1	0	0	1553,38392
15/05/2023 14:21:47.75988	0	0	0	0	0	1	0	0	1553,37941
15/05/2023 14:21:47.76088	0	0	0	0	0	1	0	0	1553,38157
15/05/2023 14:21:47.76188	0	0	0	0	0	1	0	0	1553,37922
15/05/2023 14:21:47.76288	0	0	0	0	0	1	0	0	1553,38235
15/05/2023 14:21:47.76388	0	0	0	0	0	1	0	0	1553,38137
15/05/2023 14:21:47.76488	0	0	0	0	0	1	0	0	1553,37706
15/05/2023 14:21:47.76588	0	0	0	0	0	1	0	0	1553,38039
15/05/2023 14:21:47.76688	0	0	0	0	0	1	0	0	1553,38313
15/05/2023 14:21:47.76788	0	0	0	0	0	1	0	0	1553,38039
15/05/2023 14:21:47.76888	0	0	0	0	0	1	0	0	1553,38313
15/05/2023 14:21:47.76988	0	0	0	0	0	1	0	0	1553,38411
15/05/2023 14:21:47.77088	0	0	0	0	0	1	0	0	1553,38216
15/05/2023 14:21:47.77188	0	0	0	0	0	1	0	0	1553,38039
15/05/2023 14:21:47.77288	0	0	0	0	0	1	0	0	1553,38137
15/05/2023 14:21:47.77388	0	0	0	0	0	1	0	0	1553,37941
15/05/2023 14:21:47.77488	0	0	0	0	0	1	0	0	1553,37961
15/05/2023 14:21:47.77588	0	0	0	0	0	1	0	0	1553,38216
15/05/2023 14:21:47.77688	0	0	0	0	0	1	0	0	1553,37687
15/05/2023 14:21:47.77788	0	0	0	0	0	1	0	0	1553,38372
15/05/2023 14:21:47.77888	0	0	0	0	0	1	0	0	1553,38255
15/05/2023 14:21:47.77988	0	0	0	0	0	1	0	0	1553,37922
15/05/2023 14:21:47.78088	0	0	0	0	0	1	0	0	1553,38000
15/05/2023 14:21:47.78188	0	0	0	0	0	1	0	0	1553,38059
15/05/2023 14:21:47.78288	0	0	0	0	0	1	0	0	1553,37922
15/05/2023 14:21:47.78388	0	0	0	0	0	1	0	0	1553,38020
15/05/2023 14:21:47.78488	0	0	0	0	0	1	0	0	1553,38137
15/05/2023 14:21:47.78588	0	0	0	0	0	1	0	0	1553,38157
15/05/2023 14:21:47.78688	0	0	0	0	0	1	0	0	1553,38157
15/05/2023 14:21:47.78788	0	0	0	0	0	1	0	0	1553,38392
15/05/2023 14:21:47.78888	0	0	0	0	0	1	0	0	1553,38020
15/05/2023 14:21:47.78988	0	0	0	0	0	1	0	0	1553,38294
15/05/2023 14:21:47.79088	0	0	0	0	0	1	0	0	1553,38392
15/05/2023 14:21:47.79188	0	0	0	0	0	1	0	0	1553,38529
15/05/2023 14:21:47.79288	0	0	0	0	0	1	0	0	1553,37941
15/05/2023 14:21:47.79388	0	0	0	0	0	1	0	0	1553,37961
15/05/2023 14:21:47.79488	0	0	0	0	0	1	0	0	1553,38313
15/05/2023 14:21:47.79588	0	0	0	0	0	1	0	0	1553,38196
15/05/2023 14:21:47.79688	0	0	0	0	0	1	0	0	1553,37883
15/05/2023 14:21:47.79788	0	0	0	0	0	1	0	0	1553,38313
15/05/2023 14:21:47.79888	0	0	0	0	0	1	0	0	1553,38255
15/05/2023 14:21:47.79988	0	0	0	0	0	1	0	0	1553,37883
15/05/2023 14:21:47.80088	0	0	0	0	0	1	0	0	1553,38216
15/05/2023 14:21:47.80188	0	0	0	0	0	1	0	0	1553,38216
15/05/2023 14:21:47.80288	0	0	0	0	0	1	0	0	1553,38176
15/05/2023 14:21:47.80388	0	0	0	0	0	1	0	0	1553,37961
15/05/2023 14:21:47.80488	0	0	0	0	0	1	0	0	1553,37863
15/05/2023 14:21:47.80588	0	0	0	0	0	1	0	0	1553,38176
15/05/2023 14:21:47.80688	0	0	0	0	0	1	0	0	1553,38333
15/05/2023 14:21:47.80788	0	0	0	0	0	1	0	0	1553,37883
15/05/2023 14:21:47.80888	0	0	0	0	0	1	0	0	1553,38098
15/05/2023 14:21:47.80988	0	0	0	0	0	1	0	0	1553,38157
15/05/2023 14:21:47.81088	0	0	0	0	0	1	0	0	1553,38039
15/05/2023 14:21:47.81188	0	0	0	0	0	1	0	0	1553,37785
15/05/2023 14:21:47.81288	0	0	0	0	0	1	0	0	1553,38157
15/05/2023 14:21:47.81388	0	0	0	0	0	1	0	0	1553,38411
15/05/2023 14:21:47.81488	0	0	0	0	0	1	0	0	1553,38313
15/05/2023 14:21:47.81588	0	0	0	0	0	1	0	0	1553,37667
15/05/2023 14:21:47.81688	0	0	0	0	0	1	0	0	1553,38176
15/05/2023 14:21:47.81788	0	0	0	0	0	1	0	0	1553,38411
15/05/2023 14:21:47.81888	0	0	0	0	0	1	0	0	1553,38059
15/05/2023 14:21:47.81988	0	0	0	0	0	1	0	0	1553,38255
15/05/2023 14:21:47.82088	0	0	0	0	0	1	0	0	1553,38020
15/05/2023 14:21:47.82188	0	0	0	0	0	1	0	0	1553,38020
15/05/2023 14:21:47.82288	0	0	0	0	0	1	0	0	1553,38313
15/05/2023 14:21:47.82388	0	0	0	0	0	1	0	0	1553,38196
15/05/2023 14:21:47.82488	0	0	0	0	0	1	0	0	1553,37883
15/05/2023 14:21:47.82588	0	0	0	0	0	1	0	0	1553,38392
15/05/2023 14:21:47.82688	0	0	0	0	0	1	0	0	1553,37902
15/05/2023 14:21:47.82788	0	0	0	0	0	1	0	0	1553,38020
15/05/2023 14:21:47.82888	0	0	0	0	0	1	0	0	1553,38294
15/05/2023 14:21:47.82988	0	0	0	0	0	1	0	0	1553,37961
15/05/2023 14:21:47.83088	0	0	0	0	0	1	0	0	1553,37863
15/05/2023 14:21:47.83188	0	0	0	0	0	1	0	0	1553,37941
15/05/2023 14:21:47.83288	0	0	0	0	0	1	0	0	1553,38039
15/05/2023 14:21:47.83388	0	0	0	0	0	1	0	0	1553,38098
15/05/2023 14:21:47.83488	0	0	0	0	0	1	0	0	1553,38235
15/05/2023 14:21:47.83588	0	0	0	0	0	1	0	0	1553,38294
15/05/2023 14:21:47.83688	0	0	0	0	0	1	0	0	1553,38157
15/05/2023 14:21:47.83788	0	0	0	0	0	1	0	0	1553,37922
15/05/2023 14:21:47.83888	0	0	0	0	0	1	0	0	1553,38157
15/05/2023 14:21:47.83988	0	0	0	0	0	1	0	0	1553,38137
15/05/2023 14:21:47.84088	0	0	0	0	0	1	0	0	1553,38157
15/05/2023 14:21:47.84188	0	0	0	0	0	1	0	0	1553,37981
15/05/2023 14:21:47.84288	0	0	0	0	0	1	0	0	1553,38411
15/05/2023 14:21:47.84388	0	0	0	0	0	1	0	0	1553,38157
15/05/2023 14:21:47.84488	0	0	0	0	0	1	0	0	1553,37843
15/05/2023 14:21:47.84588	0	0	0	0	0	1	0	0	1553,38118
15/05/2023 14:21:47.84688	0	0	0	0	0	1	0	0	1553,38313
15/05/2023 14:21:47.84788	0	0	0	0	0	1	0	0	1553,38353
15/05/2023 14:21:47.84888	0	0	0	0	0	1	0	0	1553,38000
15/05/2023 14:21:47.84988	0	0	0	0	0	1	0	0	1553,38274
15/05/2023 14:21:47.85088	0	0	0	0	0	1	0	0	1553,38294
